"Edition","Collector Number","Name"
"NEO","241","Brute Suit"
"NEO","152","Kumano Faces Kakkazan // Etching of Kumano"
"NEO","7","Brilliant Restoration"
"NEO","24","Light the Way"
"NEO","261","Thundersteel Colossus"
"NEO","87","Assassin's Ink"
"NEO","176","Boon of Boseiju"
"NEO","203","Orochi Merge-Keeper"
"NEO","322","Peerless Samurai"
"NEO","43","When We Were Young"
"NEO","3","Banishing Slash"
"NEO","229","Naomi, Pillar of Order"
"NEO","11","Era of Enlightenment // Hand of Enlightenment"
"NEO","57","Inventive Iteration // Living Breakthrough"
"NEO","311","Norika Yamazaki, the Poet"
"NEO","281","Uncharted Haven"
"NEO","131","Akki Ronin"
"NEO","138","Experimental Synthesizer"
"NEO","17","Imperial Oath"
"NEO","106","Leech Gauntlet"
"NEO","44","Acquisition Octopus"
"NEO","177","Boseiju Reaches Skyward // Branch of Boseiju"
"NEO","62","Mindlink Mech"
"NEO","39","Sunblade Samurai"
"NEO","15","Golden-Tail Disciple"
"NEO","36","Seven-Tail Mentor"
"NEO","9","Dragonfly Suit"
"NEO","81","Suit Up"
"NEO","262","Towashi Guide-Bot"
"NEO","263","Walking Skyscraper"
"NEO","4","Befriending the Moths // Imperial Moth"
"NEO","35","Selfless Samurai"
"NEO","255","Reckoner Bankbuster"
"NEO","242","Circuit Mender"
"NEO","287","Swamp"
"NEO","333","Futurist Operative"
"NEO","126","Undercity Scrounger"
"NEO","120","Reckoner's Bargain"
"NEO","158","Reinforced Ronin"
"NEO","215","Asari Captain"
"NEO","117","Okiba Reckoner Raid // Nezumi Road Captain"
"NEO","48","Behold the Unspeakable // Vision of the Unspeakable"
"NEO","235","Satsuki, the Living Lore"
"NEO","190","Harmonious Emergence"
"NEO","310","Imperial Subduer"
"NEO","46","Armguard Familiar"
"NEO","160","Scrapyard Steelbreaker"
"NEO","37","Sky-Blessed Samurai"
"NEO","31","Norika Yamazaki, the Poet"
"NEO","146","Heiko Yamazaki, the General"
"NEO","12","The Fall of Lord Konda // Fragment of Konda"
"NEO","372","March of Swirling Mist"
"NEO","8","Cloudsteel Kirin"
"NEO","282","Wind-Scarred Crag"
"NEO","315","Sunblade Samurai"
"NEO","315","Sunblade Samurai"
"NEO","163","Simian Sling"
"NEO","105","Kami of Terrible Secrets"
"NEO","246","Ecologist's Terrarium"
"NEO","115","Nezumi Bladeblesser"
"NEO","172","Azusa's Many Journeys // Likeness of the Seeker"
"NEO","30","Mothrider Patrol"
"NEO","264","Bloodfell Caves"
"NEO","326","Jukai Trainee"
"NEO","22","Kitsune Ace"
"NEO","54","Futurist Sentinel"
"NEO","56","Guardians of Oboro"
"NEO","168","Twinshot Sniper"
"NEO","85","Thirst for Knowledge"
"NEO","162","The Shattered States Era // Nameless Conqueror"
"NEO","210","Tales of Master Seshiro // Seshiro's Living Legacy"
"NEO","346","Coiling Stalker"
"NEO","321","Heiko Yamazaki, the General"
"NEO","69","Moonsnare Prototype"
"NEO","79","Skyswimmer Koi"
"NEO","63","Mirrorshell Crab"
"NEO","144","Go-Shintai of Ancient Wars"
"NEO","187","Go-Shintai of Boundless Vigor"
"NEO","172","Azusa's Many Journeys // Likeness of the Seeker"
"NEO","217","Eiganjo Uprising"
"NEO","321","Heiko Yamazaki, the General"
"NEO","38","Spirited Companion"
"NEO","188","Grafted Growth"
"NEO","30","Mothrider Patrol"
"NEO","1","Ancestral Katana"
"NEO","19","Imperial Subduer"
"NEO","218","Enthusiastic Mechanaut"
"NEO","214","Webspinner Cuff"
"NEO","66","The Modern Age // Vector Glider"
"NEO","194","Jugan Defends the Temple // Remnant of the Rising Star"
"NEO","282","Wind-Scarred Crag"
"NEO","309","Eiganjo Exemplar"
"NEO","195","Jukai Preserver"
"NEO","202","Master's Rebuke"
"NEO","183","Fang of Shigeki"
"NEO","125","Twisted Embrace"
"NEO","142","Flame Discharge"
"NEO","170","Upriser Renegade"
"NEO","29","Michiko's Reign of Truth // Portrait of Michiko"
